問題類型,單字,目前詞性,建議詞性,例句,來源,說明
同單字詞性矛盾,American,(adj.),需人工確認,They enjoy American music and movies.,康軒-B5-U1,"同一單字 ""american"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,Australian,(adj.),需人工確認,,三民-B3-U5,"同一單字 ""australian"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,Chinese,(adj.),需人工確認,I love Chinese food because it's tasty and colorful.,康軒-B1-U2,"同一單字 ""chinese"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,French,(adj.),需人工確認,,三民-B3-U4,"同一單字 ""french"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,Moroccan,(n.),需人工確認,,三民-B2-U8,"同一單字 ""moroccan"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,Swiss,(adj.),需人工確認,,三民-B3-U3,"同一單字 ""swiss"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,access,(n.),需人工確認,"Thanks to the sports center, people now have access to the s",三民-B3-U1,"同一單字 ""access"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,address,(v.),需人工確認,"In 2022, the 27th Conference of the Parties of the United Na",三民-B2-U9,"同一單字 ""address"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,advance,(v.),需人工確認,The new study will advance our knowledge of this disease and,三民-B2-U7,"同一單字 ""advance"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,aid,(n.),需人工確認,The Red Cross provides aid to disaster victims by offering f,三民-B3-U1,"同一單字 ""aid"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,alternative,(adj.),需人工確認,"Some students prefer using alternative methods of studying, ",三民-B4-U2,"同一單字 ""alternative"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,answer,(v.),需人工確認,"Can you answer the phone for me, please?",南一-B5-U1,"同一單字 ""answer"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,answer,(n.),需人工確認,I believe that you know the right answer to this question.,南一-B4-U5,"同一單字 ""answer"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,appeal,(v.),需人工確認,The speech appealed to people’s sense of justice and encoura,三民-B2-U5,"同一單字 ""appeal"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,appearance,(v.),需人工確認,The sun finally appeared after three days of rain.,龍騰-B3-U5,"同一單字 ""appearance"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,arrival,(v.),需人工確認,We should arrive at the train station an hour before the dep,龍騰-B3-U4,"同一單字 ""arrival"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,associate,(v.),需人工確認,"People usually associate summer with ice cream, beaches, and",三民-B4-U9,"同一單字 ""associate"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,attack,(n.),需人工確認,The dog made a loud noise during the attack.,翰林-B5-U3,"同一單字 ""attack"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,attempt,(v.),需人工確認,Charlie attempted to work out the answer to this difficult m,三民-B2-U2,"同一單字 ""attempt"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,attention,(v.),需人工確認,Many students attended the school's annual science fair.,龍騰-B1-U2,"同一單字 ""attention"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,award,(n.),需人工確認,"After years of research, the scientist won a major award for",三民-B3-U9,"同一單字 ""award"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,baby,(n.),需人工確認,The baby is sleeping .,翰林-B1-U1,"同一單字 ""baby"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,back,(n.),需人工確認,Please write your phone number on the back of this card.,康軒-B3-U3,"同一單字 ""back"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,balance,(n.),需人工確認,It is essential for an employee to keep a balance between wo,三民-B3-U5,"同一單字 ""balance"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,bandage,(n.),需人工確認,The nurse carefully wrapped a bandage around the student’s e,三民-B3-U8,"同一單字 ""bandage"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,beloved,(n.),需人工確認,"Cynthia is Mario’s beloved, his closest confidant, and his g",三民-B4-U9,"同一單字 ""beloved"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,bias,(n.),需人工確認,The managers avoided any gender bias when choosing new emplo,三民-B3-U5,"同一單字 ""bias"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,blank,(adj.),需人工確認,Please fill in the blank space with your name.,翰林-B5-U6,"同一單字 ""blank"" 有 形容詞 vs 名詞 兩種標記，請確認是否正確"
同單字詞性矛盾,blend,(n.),需人工確認,With  many tall buildings and ancient temples spread through,三民-B3-U9,"同一單字 ""blend"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,block,(n.),需人工確認,My office is just one block away from here.,康軒-B3-U6,"同一單字 ""block"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,block,(n.),需人工確認,My school is two blocks away.,翰林-B3-U5,"同一單字 ""block"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,blossom,(v.),需人工確認,"After years of personal growth and self-discovery, Ella has ",三民-B4-U3,"同一單字 ""blossom"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,blur,(v.),需人工確認,The details of the distant mountains began to blur as the fo,三民-B4-U6,"同一單字 ""blur"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,bomb,(n.),需人工確認,"While filming this movie, the director demanded that safety ",三民-B4-U5,"同一單字 ""bomb"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
同單字詞性矛盾,bond,(n.),需人工確認,Victor and Samuel have been close friends since they were in,三民-B4-U4,"同一單字 ""bond"" 有 名詞 vs 動詞 兩種標記，請確認是否正確"
